game_id,name,game_slug,price,release_date,platform,description,developer,publisher,genres,Average hours played
520,Before Your Eyes,before-your-eyes,9.99,2021-04-08T12:00:00.000Z,Windows,Embark on an emotional first-person narrative adventure where you control the story—and affect its outcomes—with your real-life blinks. With this innovative technique you will immerse yourself in a world of memories as your whole life flashes before your eyes.,GoodbyeWorld Games,Skybound Games,"INDIE,FIRST_PERSON,NARRATION",15029.54
521,3 out of 10: Season Two,3-out-of-10-season-2,0.00,2021-04-08T15:00:00.000Z,Windows,"Caffeinated super-powers, sentient AIs, and rival game studios all stand in the way of Shovelworks studios as they struggle to finally make a game that scores better than “3 out of 10”. Will this be the Season that they finally do it?","Terrible Posture Games, Inc.","Terrible Posture Games, Inc.","ADVENTURE,SINGLE_PLAYER,COMEDY",8110.51
522,Scarlet Hood and the Wicked Wood,scarlet-hood-and-the-wicked-wood,14.99,2021-04-08T15:00:00.000Z,"Windows,Mac","Scarlet awakens in this strange land after getting tossed by a tornado. Through a series of unfortunate events, she finds herself in charge of leading a hapless Munchkin troupe through the Wicked Wood to safety.",Devespresso Games,Headup GmbH,"ADVENTURE,FANTASY,STORYBOOK",12938.77
523,The Legend of Heroes: Trails of Cold Steel IV,the-legend-of-heroes-trails-of-cold-steel-iv,59.99,2021-04-09T17:00:00.000Z,Windows,"The Erebonian Empire is on the brink of all out war! The students of Class VII, old and new, must unite with heroes from all over the continent to create the only chance the world has to be spared from destruction.",Nihon Falcom,"NIS America, Inc.","RPG,SINGLE_PLAYER",9051.86
524,Merchant of the Skies,merchant-of-the-skies,14.99,2021-04-13T15:00:00.000Z,Windows,Become the captain of a flying ship! Merchant of the Skies is a trading game with light base-building and tycoon elements. You start off as a captain of a small cloudship and work your way towards establishing your own trade company.,Coldwild Games,Coldwild Games,"STRATEGY,EXPLORATION,ADVENTURE",12572.89
525,Knight Squad 2,knight-squad-2,14.99,2021-04-14T15:00:00.000Z,Windows,"Knight Squad 2 is a chaotic arcade multiplayer game for up to 8 players. Pick an eccentric knight and fight for glory with wacky weaponry. Triumph over your friends in a ridiculous amount of game modes, both offline and online.",Chainsawesome Games,Chainsawesome Games,"ARCADE,ACTION,MULTIPLAYER",37141.48
526,Deponia: The Complete Journey,deponia-the-complete-journey,29.99,2021-04-15T15:00:00.000Z,Windows,"Join Rufus on his thrilling journeys, for the first time in a complete edition with many new features, that will not only be a blast for hardcore adventure fans, but also those new to the genre.",,,"ADVENTURE,COMEDY,PUZZLE",17452.29
527,Ken Follett's The Pillars of the Earth,ken-follets-the-pillars-of-the-earth,19.99,2021-04-15T15:00:00.000Z,,"12th century, England: In a time of poverty and war, a small town begins the construction of a cathedral to claim safety for its people. In their struggle to survive, destinies intertwine. Based on Ken Follett's world-bestseller ‘The Pillars of the Earth’.",Daedalic Entertainment,Daedalic Entertainment,"ADVENTURE,NARRATION,PUZZLE",3871.30
528,Core,core,0.00,2021-04-15T15:00:00.000Z,,"Core is a multiverse of free games to play and worlds to explore designed by a global community of developers. Play thousands of Unreal-powered games from every genre, or create and earn from your own! Download now to get a limited-time free reward bundle.",,,,26681.55
529,The First Tree,the-first-tree,9.99,2021-04-15T15:00:00.000Z,"Windows,Mac","A beautiful, 3rd-person exploration game centered around two parallel stories: a fox trying to find her missing family, and a son reconnecting with his estranged father in Alaska. Uncover artifacts from the son's life as they  journey towards The First Tree.",David Wehle,David Wehle,"ADVENTURE,INDIE,EXPLORATION",15265.91
